Gene_id	GO terms
ofav60269	GO:0016324;GO:0009897;GO:0070062;GO:0005615;GO:1903561;GO:0005925;GO:0005887;GO:0016020;GO:0005886;GO:0007420;GO:0007155;GO:0007166;GO:0071404;GO:0007342;GO:0006928;GO:0008285;GO:0014003;GO:0030913;GO:0031623;GO:0009414
ofav14560	GO:0030424;GO:0005737;GO:0031410;GO:0005829;GO:0030425;GO:0070062;GO:0005765;GO:0005730;GO:0005886;GO:0045202;GO:0008088;GO:0048675;GO:0007268;GO:0090389;GO:0048489;GO:0090659
ofav84743	GO:0070062;GO:0005777;GO:0007417;GO:0021540;GO:0043473;GO:0009791;GO:1901668
ofav80410	GO:0071013;GO:0005634;GO:0003755;GO:0006457
ofav70938	GO:0005938;GO:0005737;GO:0031410;GO:0016591;GO:0031941;GO:0005794;GO:0016459;GO:0031965;GO:0005654;GO:0005634;GO:0048471;GO:0001726;GO:0051015;GO:0043531;GO:0005524;GO:0005516;GO:0003774;GO:0030048;GO:0030330;GO:0006897;GO:0006886;GO:0045944;GO:0051046;GO:0007605
ofav46480	GO:0016323;GO:0030659;GO:0016021;GO:0008519
ofav32679	GO:0016021;GO:0005215;GO:0055085
ofav33856	GO:0005737;GO:0016607;GO:0005654;GO:0005681;GO:0000166;GO:0003723;GO:0000395;GO:0051028
ofav89224	GO:0016021;GO:0005886;GO:0005509;GO:0030276;GO:0005543;GO:0046982;GO:0042803;GO:0019905;GO:0006906
ofav37053	GO:0016021;GO:0005886;GO:0005509;GO:0030276;GO:0005543;GO:0046982;GO:0042803;GO:0019905;GO:0006887;GO:0006906
ofav75301	GO:0016021;GO:0005887;GO:0015171;GO:0033265;GO:0015220;GO:0005307;GO:0008292;GO:0003333;GO:0015871;GO:0019233
ofav37676	GO:0005737;GO:0005829;GO:0070062;GO:0005622;GO:0005730;GO:0005634;GO:0003723;GO:0043565;GO:0003713;GO:0045446;GO:0007275;GO:0043388;GO:0045893;GO:0019216;GO:0006355;GO:0006351
ofav54128	GO:0070062;GO:0016021;GO:0006811
ofav105589	GO:0031410;GO:0005829;GO:0005794;GO:0000139;GO:0016021;GO:0016020;GO:0005802;GO:0003779;GO:0007015;GO:0030041;GO:0016477;GO:0030010;GO:0007030;GO:0006895;GO:0015031
ofav31647	GO:0031045;GO:0006914;GO:0007626;GO:0007399;GO:0015031;GO:0035176
ofav22628	GO:0016607;GO:0005634;GO:0005681;GO:0046540;GO:0000398;GO:0000244
ofav17216	GO:0005634;GO:0000932;GO:0031251;GO:0000175;GO:0003676;GO:0004535;GO:0006397;GO:0000289
ofav81271	GO:0005783;GO:0032580;GO:0000139;GO:0017137;GO:0004842;GO:0007049;GO:0007030;GO:0061025;GO:0070936;GO:0016567;GO:0042787;GO:0030334;GO:0006355;GO:0006351
ofav44970	GO:0005783;GO:0070062;GO:0031012;GO:0005615;GO:0005578;GO:0005201;GO:0020037;GO:0005152;GO:0046872;GO:0004601;GO:0030198;GO:0042744;GO:0006955;GO:0055114;GO:0006979
ofav80667	GO:0031225;GO:0005576;GO:0005886
ofav59429	GO:0002080;GO:0097541;GO:0005930;GO:0005814;GO:0005813;GO:0036064;GO:0097546;GO:0097542;GO:0005929;GO:0030992;GO:0060091;GO:0031514;GO:0097730;GO:0002081;GO:0032391;GO:0005802;GO:0019894;GO:0009887;GO:0009952;GO:0007420;GO:0055007;GO:0060411;GO:0060271;GO:0090102;GO:0031122;GO:0007368;GO:0009953;GO:0042733;GO:0001886;GO:0036334;GO:0008544;GO:0001654;GO:0048853;GO:0007507;GO:0060914;GO:0060122;GO:0035735;GO:0001822;GO:0060173;GO:0001889;GO:0030324;GO:0060426;GO:0050680;GO:0007399;GO:0061351;GO:1905515;GO:0007219;GO:0060021;GO:0031016;GO:0043568;GO:0008104;GO:2000785;GO:1902017;GO:0045598;GO:0060259;GO:0042487;GO:0070613;GO:0008589;GO:0034405;GO:0007224;GO:0007288;GO:0007290;GO:0021513;GO:0021537
ofav160893	GO:0016324;GO:0009925;GO:0016323;GO:0005737;GO:0005887;GO:0005886;GO:0008520;GO:0015229;GO:0070890;GO:0019852;GO:0015882;GO:0006979;GO:0070904
ofav86624	GO:0005840
ofav44380	
